serving_pci,anomalies,episodes,mean_score,mean_actual_tp,mean_expected_tp,mean_expected_rb_p75,mean_rb_usage,mean_throughput_per_rb,mean_rsrp,mean_sinr,total_lte_dl_rows_on_pci,analysis_rows_on_pci,median_tp_all_rows_on_pci,median_rb_usage_on_pci,ca_median_carrier_count_on_pci,anomaly_rate_on_pci_pct,episode_rate_on_pci_pct,anomaly_rate_ci_low_pct,anomaly_rate_ci_high_pct
152.80233666169258,1,1,67.1,13.133,80.596,68.421,136.454,0.096,-112.64,11.193,1,1,13.133,136.454,1.976,100.0,100.0,20.654,100.0
152.9021260501807,1,1,50.0,33.511,37.173,29.201,63.555,0.527,-105.12,20.12,1,1,33.511,63.555,1.021,100.0,100.0,20.654,100.0
153.17531109156198,1,1,50.0,25.102,37.173,29.201,57.842,0.434,-102.517,19.153,1,1,25.102,57.842,0.997,100.0,100.0,20.654,100.0
153.33098194911423,1,1,50.0,23.434,37.173,29.201,84.02,0.279,-100.046,15.259,1,1,23.434,84.02,1.014,100.0,100.0,20.654,100.0
154.7101111167638,1,1,56.0,32.757,62.465,65.932,169.539,0.193,-115.096,7.927,1,1,32.757,169.539,1.997,100.0,100.0,20.654,100.0
155.4816053314524,1,1,71.8,16.54,80.596,89.441,184.692,0.09,-102.404,10.659,1,1,16.54,184.692,2.004,100.0,100.0,20.654,100.0
157.68065494189278,1,1,86.1,2.044,37.173,29.201,5.8,0.352,-105.863,17.957,1,1,2.044,5.8,0.985,100.0,100.0,20.654,100.0
158.59758238131118,1,1,56.1,33.735,106.145,68.421,115.801,0.291,-98.929,18.96,1,1,33.735,115.801,1.979,100.0,100.0,20.654,100.0
165.22393405090202,1,1,50.0,27.151,37.173,29.201,40.0,0.679,-104.978,19.598,1,1,27.151,40.0,1.031,100.0,100.0,20.654,100.0
275.9911311829387,1,1,89.9,1.782,36.313,46.701,94.202,0.019,-108.113,7.667,1,1,1.782,94.202,1.008,100.0,100.0,20.654,100.0
276.456382851785,1,1,75.7,14.048,62.465,65.932,175.426,0.08,-102.812,3.692,1,1,14.048,175.426,1.968,100.0,100.0,20.654,100.0
276.91927613789954,1,1,58.0,31.559,62.465,65.932,169.844,0.186,-108.851,6.97,1,1,31.559,169.844,1.982,100.0,100.0,20.654,100.0
284.6250728984541,1,1,50.0,18.024,36.313,24.64,77.355,0.233,-105.822,6.865,1,1,18.024,77.355,1.028,100.0,100.0,20.654,100.0
285.1429657574719,1,1,71.3,4.506,36.313,24.64,56.16,0.08,-107.784,6.119,1,1,4.506,56.16,0.98,100.0,100.0,20.654,100.0
285.7241849675522,1,1,54.5,14.108,36.313,24.64,86.449,0.163,-107.589,7.334,1,1,14.108,86.449,1.004,100.0,100.0,20.654,100.0
287.08258218430393,1,1,60.5,18.387,62.465,68.421,131.332,0.14,-105.211,5.461,1,1,18.387,131.332,2.023,100.0,100.0,20.654,100.0
287.37994585447046,1,1,89.6,0.339,36.313,24.64,-0.035,-9.827,-108.281,8.69,1,1,0.339,-0.035,1.023,100.0,100.0,20.654,100.0
287.98808563202203,1,1,52.0,20.339,62.465,68.421,120.68,0.169,-103.816,4.114,1,1,20.339,120.68,1.913,100.0,100.0,20.654,100.0
288.3692477205794,1,1,50.0,18.61,36.313,24.64,78.131,0.238,-108.004,7.712,1,1,18.61,78.131,0.944,100.0,100.0,20.654,100.0
288.9233665333333,1,1,50.0,18.522,36.313,24.64,80.44,0.23,-109.931,6.961,1,1,18.522,80.44,1.045,100.0,100.0,20.654,100.0
289.9762236884399,1,1,92.6,5.075,62.465,65.932,175.097,0.029,-110.85,5.508,1,1,5.075,175.097,1.996,100.0,100.0,20.654,100.0
290.24349863543813,1,1,65.3,13.486,62.465,68.421,119.423,0.113,-103.822,6.254,1,1,13.486,119.423,1.991,100.0,100.0,20.654,100.0
291.0469471931817,1,1,56.0,42.789,62.465,65.932,192.13,0.223,-104.031,6.906,1,1,42.789,192.13,1.98,100.0,100.0,20.654,100.0
291.0845134358423,1,1,77.2,11.458,62.465,68.421,155.113,0.074,-105.022,5.803,1,1,11.458,155.113,1.983,100.0,100.0,20.654,100.0
291.18871446807304,1,1,55.5,17.499,62.465,50.825,81.994,0.213,-105.327,4.183,1,1,17.499,81.994,2.007,100.0,100.0,20.654,100.0
291.9977190199693,1,1,50.0,20.424,36.313,24.64,76.699,0.266,-103.85,8.92,1,1,20.424,76.699,1.006,100.0,100.0,20.654,100.0
294.9988554103969,1,1,77.1,10.003,62.465,50.825,67.27,0.149,-104.532,8.452,1,1,10.003,67.27,2.015,100.0,100.0,20.654,100.0
295.3415750103094,1,1,61.0,20.841,62.465,65.932,162.906,0.128,-106.406,5.04,1,1,20.841,162.906,2.023,100.0,100.0,20.654,100.0
296.01106471999196,1,1,57.3,7.449,36.313,24.64,82.335,0.09,-111.921,5.614,1,1,7.449,82.335,0.991,100.0,100.0,20.654,100.0
297.3734497072847,1,1,65.5,15.352,62.465,65.932,161.374,0.095,-113.116,3.712,1,1,15.352,161.374,1.966,100.0,100.0,20.654,100.0
298.6086892967707,1,1,93.6,0.222,62.465,50.825,24.158,0.009,-105.852,5.391,1,1,0.222,24.158,2.024,100.0,100.0,20.654,100.0
300.1414947082862,1,1,87.5,2.289,37.173,29.201,68.158,0.034,-110.729,-1.15,1,1,2.289,68.158,1.055,100.0,100.0,20.654,100.0
