serving_pci,anomalies,episodes,mean_score,mean_actual_tp,mean_expected_tp,mean_expected_rb_p75,mean_rb_usage,mean_throughput_per_rb,mean_rsrp,mean_sinr,total_lte_dl_rows_on_pci,analysis_rows_on_pci,median_tp_all_rows_on_pci,median_rb_usage_on_pci,ca_median_carrier_count_on_pci,anomaly_rate_on_pci_pct,episode_rate_on_pci_pct,anomaly_rate_ci_low_pct,anomaly_rate_ci_high_pct
135.0,56,30,74.273,19.943,96.018,60.97,89.5,0.161,-93.008,20.552,181,181,75.614,153.0,2.0,30.939,16.575,24.66,38.011
251.0,6,5,75.317,14.483,71.693,50.674,67.5,0.175,-98.945,3.38,20,20,33.977,105.5,3.0,30.0,25.0,14.548,51.898
127.0,33,19,76.003,7.764,61.523,35.609,75.0,0.08,-105.469,10.209,112,112,56.115,148.0,2.0,29.464,16.964,21.816,38.475
353.0,28,15,61.9,16.226,55.84,55.045,128.5,0.116,-99.663,9.496,96,96,32.32,165.0,2.0,29.167,15.625,21.016,38.92
140.0,129,97,62.122,11.529,43.151,44.865,118.961,0.094,-108.707,7.288,444,444,26.053,149.5,2.0,29.054,21.847,25.025,33.443
356.0,43,21,62.342,18.543,74.444,68.673,118.605,0.151,-90.639,11.04,148,148,42.743,148.0,2.0,29.054,14.189,22.343,36.825
128.0,20,8,87.17,7.077,106.862,36.959,44.85,0.093,-87.958,19.437,69,69,69.216,144.0,2.0,28.986,11.594,19.616,40.572
487.0,202,103,65.163,8.255,45.012,29.388,69.594,0.115,-106.102,9.707,727,727,15.088,69.0,1.0,27.785,14.168,24.652,31.152
82.0,15,11,64.853,7.109,31.188,33.977,98.6,0.057,-114.664,5.852,54,54,16.308,93.0,1.0,27.778,20.37,17.617,40.891
146.0,84,31,57.781,4.462,15.526,12.768,58.476,0.058,-118.644,4.212,305,305,32.145,84.0,1.0,27.541,10.164,22.83,32.81
114.0,18,8,76.2,22.671,127.049,73.445,88.611,0.208,-67.992,18.091,66,66,77.42,138.5,3.0,27.273,12.121,18.003,39.042
165.0,109,47,65.024,15.268,85.328,53.344,103.0,0.141,-93.533,10.168,401,401,25.442,114.0,2.0,27.182,11.721,23.059,31.738
250.0,17,8,83.718,7.351,116.324,35.306,42.588,0.136,-92.125,9.07,63,63,46.311,90.0,3.0,26.984,12.698,17.584,39.03
134.0,25,15,65.248,14.223,51.491,46.529,95.84,0.127,-101.516,10.602,93,93,33.151,94.0,2.0,26.882,16.129,18.921,36.676
179.0,117,53,59.632,12.014,54.904,38.207,87.291,0.136,-101.604,9.076,437,437,17.226,103.0,2.0,26.773,12.128,22.838,31.114
331.0,15,10,60.34,13.093,57.821,45.422,100.067,0.139,-99.726,9.447,57,57,23.396,70.0,2.0,26.316,17.544,16.646,38.977
133.0,43,25,64.367,11.892,56.162,47.432,93.14,0.116,-102.516,11.955,164,164,28.625,90.0,1.0,26.22,15.244,20.087,33.44
231.0,55,25,67.445,9.278,60.884,28.225,60.745,0.176,-99.328,8.041,218,218,14.611,50.5,2.0,25.229,11.468,19.927,31.39
395.0,146,86,67.156,9.022,52.883,31.947,77.548,0.118,-98.727,10.174,580,580,20.561,78.0,2.0,25.172,14.828,21.812,28.86
321.0,18,9,73.289,11.737,52.503,47.445,93.5,0.102,-98.795,12.053,72,72,40.563,129.0,2.0,25.0,12.5,16.439,36.094
210.0,14,9,77.143,17.506,108.41,80.683,136.429,0.076,-107.488,1.338,56,56,67.976,236.5,3.0,25.0,16.071,15.517,37.693
271.0,13,7,71.7,8.928,59.252,34.773,70.846,0.196,-99.67,9.697,52,52,36.904,102.5,2.0,25.0,13.462,15.233,38.207
177.0,36,16,56.489,9.997,39.632,30.709,73.0,0.156,-101.537,10.584,145,145,18.898,107.0,2.0,24.828,11.034,18.506,32.448
341.0,7,4,75.443,9.138,27.659,32.2,87.571,0.072,-93.48,7.181,29,29,56.219,139.0,2.0,24.138,13.793,12.218,42.108
158.0,58,27,66.226,8.821,38.227,36.525,82.293,0.085,-108.229,10.13,242,242,33.164,152.5,2.0,23.967,11.157,19.022,29.725
123.0,89,32,75.317,10.093,74.178,39.509,66.562,0.146,-98.138,14.38,374,374,40.873,86.0,2.0,23.797,8.556,19.761,28.365
151.0,104,58,71.477,14.891,71.342,46.382,79.817,0.155,-104.897,14.305,445,445,61.96,133.0,2.0,23.371,13.034,19.677,27.52
147.0,67,47,60.439,8.609,30.422,31.227,101.06,0.076,-110.257,5.938,288,288,21.853,121.0,2.0,23.264,16.319,18.756,28.476
122.0,59,32,67.902,16.455,84.696,48.287,82.441,0.221,-84.11,12.94,256,256,61.12,108.5,2.0,23.047,12.5,18.309,28.581
125.0,62,34,67.177,12.616,53.54,39.086,92.613,0.133,-102.215,9.468,270,270,34.231,110.0,2.0,22.963,12.593,18.346,28.338
182.0,65,43,65.989,7.337,36.815,32.959,111.723,0.065,-108.48,5.45,285,285,15.702,124.0,2.0,22.807,15.088,18.316,28.021
230.0,10,5,73.52,7.231,74.422,38.851,56.1,0.107,-99.205,2.472,44,44,70.951,100.5,3.0,22.727,11.364,12.842,36.993
148.0,90,57,66.233,8.945,41.719,29.584,89.167,0.084,-108.501,6.029,399,399,45.647,155.0,2.0,22.556,14.286,18.728,26.908
80.0,23,16,61.722,18.398,52.214,63.44,151.696,0.123,-107.765,6.606,102,102,64.282,179.0,2.0,22.549,15.686,15.522,31.569
196.0,41,23,60.554,12.957,52.348,39.944,102.293,0.115,-97.064,6.935,183,183,29.259,123.0,2.0,22.404,12.568,16.966,28.977
313.0,46,26,77.002,21.397,99.144,65.043,84.239,0.182,-84.795,16.03,206,206,81.139,166.0,2.0,22.33,12.621,17.179,28.494
183.0,213,121,62.044,11.152,43.636,31.634,60.624,0.178,-86.283,12.325,962,962,27.434,74.0,1.0,22.141,12.578,19.631,24.873
137.0,30,21,71.82,10.262,69.032,40.046,86.633,0.107,-100.827,12.87,136,136,38.484,130.5,2.0,22.059,15.441,15.911,29.742
163.0,69,39,73.788,15.484,97.322,53.928,89.087,0.155,-88.935,17.705,314,314,61.688,161.0,2.0,21.975,12.42,17.748,26.878
184.0,254,121,64.9,9.923,57.552,37.577,58.74,0.159,-87.447,16.387,1189,1189,17.157,56.0,1.0,21.362,10.177,19.127,23.783
352.0,53,29,60.736,8.805,36.945,32.962,103.679,0.086,-106.707,7.181,249,249,24.617,140.0,2.0,21.285,11.647,16.657,26.786
322.0,7,7,73.271,22.677,112.21,99.398,125.571,0.169,-86.65,16.789,33,33,121.776,163.0,2.0,21.212,21.212,10.676,37.752
312.0,11,4,69.164,23.18,111.472,66.273,125.364,0.163,-108.509,2.909,52,52,68.735,181.5,2.0,21.154,7.692,12.244,34.032
394.0,117,70,74.261,16.943,89.513,69.33,104.846,0.175,-93.624,17.242,564,564,64.339,171.5,2.0,20.745,12.411,17.602,24.284
338.0,102,51,73.699,11.124,66.701,43.176,89.892,0.096,-95.796,10.224,492,492,40.18,155.0,2.0,20.732,10.366,17.383,24.534
215.0,6,5,77.433,3.427,37.618,29.328,103.0,0.037,-112.92,5.435,29,29,18.969,120.0,2.0,20.69,17.241,9.846,38.39
339.0,82,42,66.401,8.566,44.827,26.201,80.72,0.102,-102.299,8.375,398,398,24.627,91.0,2.0,20.603,10.553,16.92,24.849
376.0,8,5,57.625,16.857,60.736,57.606,123.375,0.133,-92.255,8.425,39,39,18.236,108.0,2.0,20.513,12.821,10.78,35.534
393.0,56,37,68.929,8.427,54.749,33.728,64.125,0.153,-103.61,10.625,275,275,34.215,81.0,1.0,20.364,13.455,16.028,25.516
124.0,104,54,75.769,13.13,85.219,39.733,61.779,0.185,-90.997,14.739,511,511,60.541,121.0,2.0,20.352,10.568,17.089,24.058
214.0,6,3,79.917,1.788,47.866,22.1,48.167,0.045,-98.126,5.388,30,30,35.522,153.0,2.0,20.0,10.0,9.505,37.306
115.0,36,20,75.822,22.853,132.507,74.799,94.222,0.205,-75.48,15.435,182,182,96.595,161.0,3.0,19.78,10.989,14.644,26.166
362.0,28,25,62.679,15.004,45.6,47.45,140.714,0.109,-107.638,7.687,142,142,42.486,177.5,2.0,19.718,17.606,14.009,27.022
139.0,102,65,69.245,14.327,68.573,57.443,123.676,0.103,-91.673,9.88,520,520,42.975,165.5,2.0,19.615,12.5,16.43,23.246
171.0,5,3,55.36,17.1,41.301,22.051,64.2,0.284,-96.971,10.001,26,26,41.736,69.5,1.0,19.231,11.538,8.507,37.877
185.0,41,29,63.6,15.215,52.08,49.159,91.073,0.168,-89.776,11.197,214,214,33.857,93.0,1.0,19.159,13.551,14.448,24.957
431.0,21,16,71.195,14.388,84.935,41.499,88.095,0.159,-101.797,11.442,110,110,37.577,95.0,2.0,19.091,14.545,12.839,27.429
254.0,70,37,75.333,14.863,92.491,49.34,73.6,0.161,-87.62,15.558,369,369,69.349,134.0,2.0,18.97,10.027,15.297,23.282
180.0,12,9,74.333,15.104,90.647,54.638,109.417,0.129,-93.324,12.811,64,64,59.139,164.5,2.0,18.75,14.062,11.065,29.975
234.0,25,11,78.492,9.619,89.022,41.258,40.04,0.137,-93.366,6.742,134,134,49.642,95.5,3.0,18.657,8.209,12.968,26.092
373.0,55,31,50.002,7.41,22.199,15.993,68.855,0.112,-110.319,4.485,295,295,14.863,76.0,1.0,18.644,10.508,14.613,23.481
350.0,5,4,52.98,31.619,66.711,77.514,126.8,0.249,-100.754,5.857,27,27,62.858,195.0,2.0,18.519,14.815,8.181,36.699
361.0,6,5,68.717,14.076,67.985,63.492,112.333,0.14,-98.855,13.714,33,33,28.814,161.0,2.0,18.182,15.152,8.611,34.389
50.0,47,28,66.849,16.171,67.331,66.844,145.362,0.104,-97.192,10.111,259,259,44.753,178.0,2.0,18.147,10.811,13.93,23.295
345.0,39,26,60.272,12.552,52.001,45.136,100.615,0.128,-95.741,9.26,215,215,24.286,89.0,1.0,18.14,12.093,13.563,23.835
488.0,29,22,65.352,8.334,32.591,30.32,80.069,0.076,-105.016,7.481,162,162,31.183,89.0,1.0,17.901,13.58,12.763,24.527
326.0,5,4,55.58,16.282,22.937,23.583,80.8,0.323,-107.852,7.294,28,28,38.541,96.0,1.0,17.857,14.286,7.878,35.592
469.0,231,109,58.354,7.331,29.571,21.752,82.506,0.085,-105.263,5.211,1339,1339,19.368,107.0,2.0,17.252,8.14,15.322,19.368
349.0,6,6,62.767,16.857,48.066,49.534,122.833,0.161,-92.255,9.746,35,35,48.727,170.0,2.0,17.143,17.143,8.103,32.683
168.0,21,13,69.376,14.695,69.845,65.19,138.762,0.101,-92.796,7.678,124,124,35.894,174.5,2.0,16.935,10.484,11.352,24.506
111.0,32,22,59.647,24.407,81.259,77.67,136.438,0.18,-90.825,13.788,189,189,57.134,153.0,2.0,16.931,11.64,12.256,22.924
129.0,47,27,67.404,13.279,57.821,40.159,88.319,0.157,-100.207,11.484,282,282,47.905,160.0,2.0,16.667,9.574,12.771,21.458
132.0,27,11,68.789,6.12,64.956,31.225,71.148,0.083,-93.623,11.311,162,162,26.805,88.0,2.0,16.667,6.79,11.714,23.163
340.0,14,3,69.343,2.776,26.48,14.363,33.5,0.041,-108.06,5.438,85,85,28.127,96.0,1.0,16.471,3.529,10.072,25.768
354.0,43,26,66.267,12.715,49.935,50.439,124.93,0.094,-99.388,8.323,267,267,47.219,174.0,2.0,16.105,9.738,12.182,20.99
310.0,14,11,69.121,21.393,80.795,64.164,129.0,0.196,-101.9,2.854,90,90,97.025,183.0,2.0,15.556,12.222,9.498,24.433
232.0,60,31,68.3,8.001,55.682,26.867,63.25,0.152,-101.133,9.431,387,387,30.689,71.0,2.0,15.504,8.01,12.239,19.447
448.0,38,19,63.424,12.661,53.948,46.717,97.816,0.094,-100.531,8.005,247,247,44.263,176.0,2.0,15.385,7.692,11.418,20.411
178.0,10,9,63.52,20.306,64.559,58.654,154.9,0.137,-94.407,9.701,65,65,70.507,184.0,2.0,15.385,13.846,8.577,26.056
270.0,2,2,61.75,32.338,30.702,102.375,134.5,0.457,-86.927,3.836,13,13,86.478,258.0,3.0,15.385,15.385,4.326,42.235
288.0,23,15,66.383,12.858,37.206,29.478,95.826,0.119,-106.396,6.632,150,150,37.944,96.0,1.0,15.333,10.0,10.44,21.958
159.0,22,17,63.95,13.509,62.033,45.635,114.955,0.117,-99.945,9.027,144,144,30.697,121.5,2.0,15.278,11.806,10.311,22.049
195.0,7,5,58.129,28.547,73.307,64.952,109.286,0.388,-84.361,8.35,46,46,116.957,186.0,2.0,15.217,10.87,7.572,28.224
253.0,46,28,72.359,11.665,70.1,37.325,65.696,0.155,-96.053,9.871,304,304,43.277,93.0,2.0,15.132,9.211,11.54,19.593
455.0,37,17,70.484,10.23,87.429,42.763,67.73,0.142,-91.171,14.81,247,247,25.049,72.0,2.0,14.98,6.883,11.067,19.965
156.0,38,22,69.395,26.781,105.827,66.355,99.868,0.251,-95.405,20.978,254,254,92.905,151.0,2.0,14.961,8.661,11.098,19.868
110.0,31,24,59.355,10.108,24.974,26.283,94.161,0.107,-107.739,5.362,209,209,32.22,94.0,1.0,14.833,11.483,10.65,20.284
112.0,33,26,58.964,13.265,46.315,41.056,102.121,0.117,-104.727,8.146,224,224,51.251,139.0,2.0,14.732,11.607,10.686,19.967
161.0,6,5,65.517,11.392,40.7,55.384,133.333,0.083,-110.602,5.988,41,41,18.391,92.0,2.0,14.634,12.195,6.884,28.444
272.0,6,3,83.017,6.284,85.652,28.248,49.0,0.065,-89.797,9.912,41,41,20.227,96.0,2.0,14.634,7.317,6.884,28.444
470.0,44,31,63.355,13.383,53.271,42.816,100.477,0.139,-102.498,10.834,306,306,34.532,120.5,2.0,14.379,10.131,10.889,18.753
335.0,3,2,52.033,4.489,9.121,15.285,81.667,0.055,-118.856,0.751,21,21,18.458,94.0,1.0,14.286,9.524,4.981,34.636
252.0,2,2,81.2,12.589,127.804,38.939,70.0,0.173,-93.042,9.546,14,14,66.226,176.0,3.0,14.286,14.286,4.009,39.942
497.0,1,1,60.0,23.603,23.141,24.346,177.0,0.133,-102.665,-0.1,7,7,54.257,188.0,2.0,14.286,14.286,2.568,51.313
454.0,33,17,70.788,13.599,67.99,53.441,117.394,0.101,-91.85,8.159,239,239,69.61,173.0,2.0,13.808,7.113,10.003,18.757
275.0,30,21,72.07,6.182,56.304,29.297,70.0,0.093,-94.11,8.272,219,219,34.482,95.0,2.0,13.699,9.589,9.767,18.882
453.0,21,17,64.01,18.949,58.129,48.663,113.714,0.142,-99.662,9.43,156,156,71.693,166.0,2.0,13.462,10.897,8.976,19.703
131.0,12,10,68.633,15.07,57.87,56.86,131.5,0.111,-92.129,10.525,91,91,36.959,134.0,2.0,13.187,10.989,7.707,21.649
157.0,42,33,63.195,33.404,81.945,65.669,106.69,0.251,-103.239,11.578,322,322,104.338,162.0,2.0,13.043,10.248,9.797,17.162
81.0,15,11,62.887,11.404,41.167,43.254,117.267,0.106,-110.332,10.278,117,117,33.65,94.0,1.0,12.821,9.402,7.926,20.079
145.0,37,27,62.986,16.594,50.975,42.454,102.676,0.16,-106.469,11.095,291,291,31.186,92.0,1.0,12.715,9.278,9.367,17.034
120.0,75,49,69.963,17.56,87.429,40.413,76.653,0.222,-94.85,15.999,595,595,65.05,130.0,2.0,12.605,8.235,10.176,15.514
406.0,3,2,52.733,7.705,30.038,18.221,79.0,0.117,-102.104,6.813,24,24,22.954,108.5,2.0,12.5,8.333,4.344,31.004
437.0,3,3,67.467,32.075,132.554,83.452,129.0,0.256,-91.223,15.767,24,24,54.281,138.0,2.0,12.5,12.5,4.344,31.004
447.0,3,3,59.533,13.212,40.27,63.762,122.333,0.11,-105.988,6.032,24,24,32.524,93.5,1.0,12.5,12.5,4.344,31.004
162.0,7,6,67.629,19.781,68.191,50.236,95.571,0.144,-96.743,11.728,57,57,86.73,187.0,2.0,12.281,10.526,6.078,23.247
166.0,22,18,52.864,11.788,26.154,25.821,98.364,0.123,-104.42,7.107,181,181,24.29,94.0,1.0,12.155,9.945,8.165,17.717
402.0,13,5,62.515,3.695,16.884,16.703,24.462,0.059,-100.865,4.398,108,108,18.759,66.5,1.0,12.037,4.63,7.171,19.511
315.0,21,14,69.252,11.416,48.567,37.812,97.381,0.099,-103.63,7.445,183,183,77.93,163.0,2.0,11.475,7.65,7.629,16.906
351.0,47,34,69.247,13.654,64.593,37.823,73.702,0.136,-98.408,10.697,411,411,49.228,116.0,2.0,11.436,8.273,8.709,14.876
154.0,5,2,67.18,9.488,53.809,39.404,110.2,0.082,-113.463,9.137,44,44,213.033,209.0,3.0,11.364,4.545,4.953,23.979
181.0,1,1,55.9,10.502,49.45,30.988,87.0,0.121,-109.505,6.341,9,9,33.211,185.0,2.0,11.111,11.111,1.989,43.501
153.0,23,17,70.357,22.327,77.692,59.249,112.435,0.116,-113.587,6.318,212,212,136.245,221.0,3.0,10.849,8.019,7.339,15.753
348.0,22,18,63.695,19.937,77.189,50.792,114.091,0.18,-97.064,11.375,204,204,90.415,160.0,2.0,10.784,8.824,7.23,15.788
213.0,3,2,84.467,3.087,38.73,20.397,75.0,0.056,-110.721,6.788,28,28,46.114,165.0,2.0,10.714,7.143,3.712,27.196
333.0,14,10,64.157,18.188,79.284,68.436,134.0,0.124,-103.153,10.838,131,131,58.41,161.0,2.0,10.687,7.634,6.473,17.141
309.0,5,5,63.1,7.535,21.353,23.996,105.0,0.063,-111.339,0.958,47,47,69.767,132.0,2.0,10.638,10.638,4.63,22.595
496.0,5,5,58.1,11.925,27.588,31.578,110.0,0.121,-109.132,2.698,48,48,26.402,117.5,2.0,10.417,10.417,4.532,22.168
160.0,6,5,63.683,15.797,52.177,52.722,155.333,0.105,-98.458,6.823,59,59,33.214,159.0,2.0,10.169,8.475,4.745,20.464
144.0,52,29,69.377,12.442,56.998,35.817,87.135,0.129,-103.906,10.774,514,514,62.336,150.0,2.0,10.117,5.642,7.799,13.027
108.0,13,13,65.038,7.772,43.285,38.773,113.385,0.071,-109.592,7.379,136,136,38.253,92.0,1.0,9.559,9.559,5.671,15.668
49.0,6,5,69.817,17.241,69.631,80.132,120.333,0.105,-92.407,11.432,63,63,47.581,97.0,1.0,9.524,7.937,4.438,19.262
316.0,13,10,61.892,26.822,68.203,53.872,117.385,0.224,-102.48,15.525,139,139,97.12,168.0,2.0,9.353,7.194,5.547,15.344
212.0,32,22,70.928,15.167,69.498,45.634,92.188,0.155,-100.613,10.275,374,374,82.481,145.0,2.0,8.556,5.882,6.126,11.829
314.0,4,2,69.175,24.63,91.091,60.444,94.75,0.215,-85.223,13.469,47,47,99.439,147.0,2.0,8.511,4.255,3.359,19.932
164.0,5,3,68.16,14.163,73.59,69.135,140.8,0.098,-94.673,6.708,59,59,56.98,170.0,2.0,8.475,5.085,3.674,18.352
149.0,62,38,66.918,22.246,90.542,70.45,110.516,0.178,-90.129,15.346,740,740,92.366,171.0,2.0,8.378,5.135,6.591,10.596
430.0,7,6,62.614,20.255,58.325,62.275,127.429,0.145,-87.923,11.812,84,84,72.663,192.0,2.0,8.333,7.143,4.095,16.216
255.0,13,10,67.823,16.081,61.108,44.303,102.769,0.152,-95.093,8.031,157,157,67.113,135.0,2.0,8.28,6.369,4.903,13.651
116.0,9,5,68.522,23.51,112.299,93.442,165.444,0.14,-97.602,6.773,111,111,66.219,178.0,2.0,8.108,4.505,4.324,14.695
318.0,11,5,53.609,5.198,20.915,16.814,51.182,0.098,-92.424,6.869,141,141,45.987,81.0,1.0,7.801,3.546,4.412,13.43
273.0,12,10,71.858,19.387,64.692,41.218,93.75,0.172,-90.027,8.22,154,154,83.122,166.0,2.0,7.792,6.494,4.513,13.126
143.0,10,9,56.99,18.962,34.963,39.648,110.2,0.184,-100.29,7.14,136,136,66.487,112.5,2.0,7.353,6.618,4.043,13.006
365.0,1,1,59.0,24.597,85.557,79.458,159.0,0.155,-88.491,7.503,14,14,47.773,172.5,2.0,7.143,7.143,1.272,31.469
346.0,25,17,59.528,17.385,56.612,48.811,115.2,0.171,-95.458,6.805,358,358,41.716,175.5,2.0,6.983,4.749,4.774,10.105
142.0,1,1,52.0,56.965,27.35,36.185,94.0,0.606,-87.848,6.212,16,16,85.148,182.5,2.0,6.25,6.25,1.112,28.329
495.0,16,11,58.531,13.302,51.136,34.22,100.375,0.134,-99.425,12.436,262,262,58.116,145.5,2.0,6.107,4.198,3.794,9.689
347.0,8,8,64.238,20.029,58.949,72.846,148.25,0.124,-100.008,7.298,134,134,81.145,168.5,2.0,5.97,5.97,3.056,11.339
274.0,3,3,63.5,30.175,111.795,61.982,115.333,0.265,-77.938,17.347,53,53,109.382,138.0,2.0,5.66,5.66,1.944,15.37
187.0,13,9,60.515,22.694,70.691,66.522,135.769,0.171,-96.35,7.899,232,232,61.423,155.0,2.0,5.603,3.879,3.304,9.35
197.0,6,6,61.317,29.934,87.761,100.276,143.5,0.256,-83.393,11.391,114,114,95.684,178.0,2.0,5.263,5.263,2.434,11.009
233.0,5,4,59.12,45.558,144.449,101.978,117.4,0.366,-91.428,13.106,100,100,96.072,123.5,3.0,5.0,4.0,2.154,11.175
378.0,2,1,78.6,19.584,168.441,85.679,83.0,0.254,-94.744,21.247,41,41,93.943,189.0,2.0,4.878,2.439,1.348,16.139
113.0,20,18,61.27,27.88,74.798,68.709,137.65,0.209,-96.896,13.434,411,411,87.821,172.0,2.0,4.866,4.38,3.172,7.396
155.0,8,8,70.088,52.082,187.07,161.875,161.125,0.287,-88.303,17.063,174,174,174.247,192.0,3.0,4.598,4.598,2.348,8.809
141.0,13,12,64.508,33.805,88.895,90.17,152.538,0.207,-95.002,15.019,289,289,106.338,187.0,2.0,4.498,4.152,2.647,7.543
319.0,5,5,62.94,40.101,102.58,88.396,129.8,0.279,-89.42,14.307,169,169,119.209,159.0,2.0,2.959,2.959,1.27,6.738
188.0,4,4,54.4,34.716,90.763,83.913,115.75,0.286,-93.039,10.375,174,174,115.608,136.5,2.0,2.299,2.299,0.898,5.761
401.0,1,1,52.0,52.969,49.258,51.952,94.0,0.563,-91.062,12.465,70,70,120.944,173.0,2.0,1.429,1.429,0.253,7.658
