ca_condition_label,carrier_count,rows,mean,p10,p25,median,p75,p90,pct_below_10
unknown_carrier_count,0.979709874769322,1,34.027,34.027,34.027,34.027,34.027,34.027,0.0
unknown_carrier_count,0.9800562795498495,1,26.64,26.64,26.64,26.64,26.64,26.64,0.0
unknown_carrier_count,0.9809353076840021,1,33.4,33.4,33.4,33.4,33.4,33.4,0.0
unknown_carrier_count,0.9815588115948367,1,36.47,36.47,36.47,36.47,36.47,36.47,0.0
unknown_carrier_count,0.982660257451585,1,25.181,25.181,25.181,25.181,25.181,25.181,0.0
unknown_carrier_count,0.9835707253466043,1,28.257,28.257,28.257,28.257,28.257,28.257,0.0
unknown_carrier_count,0.9836821191046242,1,40.989,40.989,40.989,40.989,40.989,40.989,0.0
unknown_carrier_count,0.9837307880921132,1,23.903,23.903,23.903,23.903,23.903,23.903,0.0
unknown_carrier_count,0.9840705018035769,1,67.137,67.137,67.137,67.137,67.137,67.137,0.0
unknown_carrier_count,0.9842805882772084,1,46.7,46.7,46.7,46.7,46.7,46.7,0.0
unknown_carrier_count,0.9847516681225762,1,11.667,11.667,11.667,11.667,11.667,11.667,0.0
unknown_carrier_count,0.9849565801369248,1,37.271,37.271,37.271,37.271,37.271,37.271,0.0
unknown_carrier_count,0.9849611069680634,1,2.044,2.044,2.044,2.044,2.044,2.044,100.0
unknown_carrier_count,0.9853657712330438,1,40.119,40.119,40.119,40.119,40.119,40.119,0.0
unknown_carrier_count,0.9855906130104924,1,42.504,42.504,42.504,42.504,42.504,42.504,0.0
unknown_carrier_count,0.9856427378727772,1,55.146,55.146,55.146,55.146,55.146,55.146,0.0
unknown_carrier_count,0.9857148402676514,1,21.483,21.483,21.483,21.483,21.483,21.483,0.0
unknown_carrier_count,0.9858289568698393,1,29.228,29.228,29.228,29.228,29.228,29.228,0.0
unknown_carrier_count,0.9858529572691171,1,35.677,35.677,35.677,35.677,35.677,35.677,0.0
unknown_carrier_count,0.9859149319392079,1,3.236,3.236,3.236,3.236,3.236,3.236,100.0
unknown_carrier_count,0.9860132314941208,1,42.14,42.14,42.14,42.14,42.14,42.14,0.0
unknown_carrier_count,0.9867084725487447,1,0.834,0.834,0.834,0.834,0.834,0.834,100.0
unknown_carrier_count,0.9868899645990623,1,34.93,34.93,34.93,34.93,34.93,34.93,0.0
unknown_carrier_count,0.9870558810703796,1,25.881,25.881,25.881,25.881,25.881,25.881,0.0
unknown_carrier_count,0.9871146807024963,1,22.11,22.11,22.11,22.11,22.11,22.11,0.0
unknown_carrier_count,0.9872199490283039,1,50.345,50.345,50.345,50.345,50.345,50.345,0.0
unknown_carrier_count,0.9886143509129252,1,19.62,19.62,19.62,19.62,19.62,19.62,0.0
unknown_carrier_count,0.9889456305494613,1,33.416,33.416,33.416,33.416,33.416,33.416,0.0
unknown_carrier_count,0.9900117260226746,1,39.469,39.469,39.469,39.469,39.469,39.469,0.0
unknown_carrier_count,0.9901218167350168,1,18.847,18.847,18.847,18.847,18.847,18.847,0.0
unknown_carrier_count,0.9901473609032335,1,27.063,27.063,27.063,27.063,27.063,27.063,0.0
unknown_carrier_count,0.9904092017319767,1,18.478,18.478,18.478,18.478,18.478,18.478,0.0
unknown_carrier_count,0.9904532203109213,1,21.755,21.755,21.755,21.755,21.755,21.755,0.0
unknown_carrier_count,0.9905257642368601,1,7.449,7.449,7.449,7.449,7.449,7.449,100.0
unknown_carrier_count,0.9905409006167137,1,32.09,32.09,32.09,32.09,32.09,32.09,0.0
unknown_carrier_count,0.9909686271355973,1,16.126,16.126,16.126,16.126,16.126,16.126,0.0
unknown_carrier_count,0.9915165988614293,1,28.084,28.084,28.084,28.084,28.084,28.084,0.0
unknown_carrier_count,0.9916171364063361,1,69.292,69.292,69.292,69.292,69.292,69.292,0.0
unknown_carrier_count,0.9917041730748748,1,29.661,29.661,29.661,29.661,29.661,29.661,0.0
unknown_carrier_count,0.9917396176231492,1,40.393,40.393,40.393,40.393,40.393,40.393,0.0
unknown_carrier_count,0.9919223707410781,1,41.057,41.057,41.057,41.057,41.057,41.057,0.0
unknown_carrier_count,0.9924302062179776,1,30.277,30.277,30.277,30.277,30.277,30.277,0.0
unknown_carrier_count,0.992493896133612,1,0.688,0.688,0.688,0.688,0.688,0.688,100.0
unknown_carrier_count,0.9931421215937443,1,36.419,36.419,36.419,36.419,36.419,36.419,0.0
unknown_carrier_count,0.9933208463347848,1,18.767,18.767,18.767,18.767,18.767,18.767,0.0
unknown_carrier_count,0.9934911363825094,1,18.806,18.806,18.806,18.806,18.806,18.806,0.0
unknown_carrier_count,0.9935785704830199,1,28.005,28.005,28.005,28.005,28.005,28.005,0.0
unknown_carrier_count,0.9939844031274732,1,52.881,52.881,52.881,52.881,52.881,52.881,0.0
unknown_carrier_count,0.9940037623487851,1,31.977,31.977,31.977,31.977,31.977,31.977,0.0
unknown_carrier_count,0.9942136192917395,1,30.78,30.78,30.78,30.78,30.78,30.78,0.0
unknown_carrier_count,0.9949209251483121,1,58.669,58.669,58.669,58.669,58.669,58.669,0.0
unknown_carrier_count,0.9955293141319597,1,27.456,27.456,27.456,27.456,27.456,27.456,0.0
unknown_carrier_count,0.9956909980830424,1,30.766,30.766,30.766,30.766,30.766,30.766,0.0
unknown_carrier_count,0.9957572203501726,1,0.605,0.605,0.605,0.605,0.605,0.605,100.0
unknown_carrier_count,0.9958014844684332,1,40.828,40.828,40.828,40.828,40.828,40.828,0.0
unknown_carrier_count,0.9958697591078647,1,36.383,36.383,36.383,36.383,36.383,36.383,0.0
unknown_carrier_count,0.99594298647643,1,33.942,33.942,33.942,33.942,33.942,33.942,0.0
unknown_carrier_count,0.9960485609138131,1,58.286,58.286,58.286,58.286,58.286,58.286,0.0
unknown_carrier_count,0.9960551182592362,1,35.809,35.809,35.809,35.809,35.809,35.809,0.0
unknown_carrier_count,0.9964627149681177,1,27.451,27.451,27.451,27.451,27.451,27.451,0.0
unknown_carrier_count,0.9967711016258127,1,29.829,29.829,29.829,29.829,29.829,29.829,0.0
unknown_carrier_count,0.9971005251651807,1,25.102,25.102,25.102,25.102,25.102,25.102,0.0
unknown_carrier_count,0.9973529481537233,1,30.481,30.481,30.481,30.481,30.481,30.481,0.0
unknown_carrier_count,0.9974758090041116,1,41.049,41.049,41.049,41.049,41.049,41.049,0.0
unknown_carrier_count,0.9986061037758474,1,25.555,25.555,25.555,25.555,25.555,25.555,0.0
unknown_carrier_count,0.9989916919186422,1,36.006,36.006,36.006,36.006,36.006,36.006,0.0
unknown_carrier_count,1.0006038855185606,1,14.597,14.597,14.597,14.597,14.597,14.597,0.0
unknown_carrier_count,1.0006815724745506,1,23.818,23.818,23.818,23.818,23.818,23.818,0.0
unknown_carrier_count,1.0010017408540115,1,31.495,31.495,31.495,31.495,31.495,31.495,0.0
unknown_carrier_count,1.0018118302119017,1,26.339,26.339,26.339,26.339,26.339,26.339,0.0
unknown_carrier_count,1.002682080998069,1,27.437,27.437,27.437,27.437,27.437,27.437,0.0
unknown_carrier_count,1.0033642716345594,1,30.26,30.26,30.26,30.26,30.26,30.26,0.0
unknown_carrier_count,1.0034237674432418,1,28.965,28.965,28.965,28.965,28.965,28.965,0.0
unknown_carrier_count,1.003706777772216,1,34.007,34.007,34.007,34.007,34.007,34.007,0.0
unknown_carrier_count,1.004185500033627,1,14.108,14.108,14.108,14.108,14.108,14.108,0.0
unknown_carrier_count,1.0042955296201808,1,35.317,35.317,35.317,35.317,35.317,35.317,0.0
unknown_carrier_count,1.0045928813115796,1,44.798,44.798,44.798,44.798,44.798,44.798,0.0
unknown_carrier_count,1.0048894135955595,1,36.291,36.291,36.291,36.291,36.291,36.291,0.0
unknown_carrier_count,1.0053723490079909,1,23.067,23.067,23.067,23.067,23.067,23.067,0.0
unknown_carrier_count,1.0056937758483004,1,27.675,27.675,27.675,27.675,27.675,27.675,0.0
unknown_carrier_count,1.005727202466027,1,46.706,46.706,46.706,46.706,46.706,46.706,0.0
unknown_carrier_count,1.005793993096845,1,20.424,20.424,20.424,20.424,20.424,20.424,0.0
unknown_carrier_count,1.0059831332200955,1,8.737,8.737,8.737,8.737,8.737,8.737,100.0
unknown_carrier_count,1.006145802259116,1,0.012,0.012,0.012,0.012,0.012,0.012,100.0
unknown_carrier_count,1.0066662510887912,1,31.693,31.693,31.693,31.693,31.693,31.693,0.0
unknown_carrier_count,1.006806270960332,1,22.269,22.269,22.269,22.269,22.269,22.269,0.0
unknown_carrier_count,1.0071586878024672,1,28.884,28.884,28.884,28.884,28.884,28.884,0.0
unknown_carrier_count,1.0075835260575499,1,30.114,30.114,30.114,30.114,30.114,30.114,0.0
unknown_carrier_count,1.007650584673992,1,27.66,27.66,27.66,27.66,27.66,27.66,0.0
unknown_carrier_count,1.0077260965611596,1,32.198,32.198,32.198,32.198,32.198,32.198,0.0
unknown_carrier_count,1.007746966215761,1,25.673,25.673,25.673,25.673,25.673,25.673,0.0
unknown_carrier_count,1.0078392288500007,1,16.774,16.774,16.774,16.774,16.774,16.774,0.0
unknown_carrier_count,1.0078897194232137,1,1.782,1.782,1.782,1.782,1.782,1.782,100.0
unknown_carrier_count,1.0084079813894957,1,26.064,26.064,26.064,26.064,26.064,26.064,0.0
unknown_carrier_count,1.0097825152784266,1,21.663,21.663,21.663,21.663,21.663,21.663,0.0
unknown_carrier_count,1.0099040875174996,1,21.449,21.449,21.449,21.449,21.449,21.449,0.0
unknown_carrier_count,1.0100712164417096,1,32.956,32.956,32.956,32.956,32.956,32.956,0.0
unknown_carrier_count,1.0105414353914528,1,27.047,27.047,27.047,27.047,27.047,27.047,0.0
unknown_carrier_count,1.0105415956972859,1,5.096,5.096,5.096,5.096,5.096,5.096,100.0
unknown_carrier_count,1.0109514338604368,1,17.46,17.46,17.46,17.46,17.46,17.46,0.0
unknown_carrier_count,1.0110867754214854,1,29.518,29.518,29.518,29.518,29.518,29.518,0.0
unknown_carrier_count,1.011296778850935,1,23.614,23.614,23.614,23.614,23.614,23.614,0.0
unknown_carrier_count,1.0114141334127362,1,24.501,24.501,24.501,24.501,24.501,24.501,0.0
unknown_carrier_count,1.0115446024325385,1,63.292,63.292,63.292,63.292,63.292,63.292,0.0
unknown_carrier_count,1.0118273063970047,1,10.16,10.16,10.16,10.16,10.16,10.16,0.0
unknown_carrier_count,1.0119256772546696,1,21.293,21.293,21.293,21.293,21.293,21.293,0.0
unknown_carrier_count,1.0120181296003472,1,13.006,13.006,13.006,13.006,13.006,13.006,0.0
unknown_carrier_count,1.0120659582487348,1,39.729,39.729,39.729,39.729,39.729,39.729,0.0
unknown_carrier_count,1.0122539770987042,1,31.521,31.521,31.521,31.521,31.521,31.521,0.0
unknown_carrier_count,1.0125993409665863,1,27.703,27.703,27.703,27.703,27.703,27.703,0.0
unknown_carrier_count,1.0129141396294403,1,43.018,43.018,43.018,43.018,43.018,43.018,0.0
unknown_carrier_count,1.0131747148092525,1,6.029,6.029,6.029,6.029,6.029,6.029,100.0
unknown_carrier_count,1.0134085273577602,1,44.533,44.533,44.533,44.533,44.533,44.533,0.0
unknown_carrier_count,1.013723146739753,1,43.111,43.111,43.111,43.111,43.111,43.111,0.0
unknown_carrier_count,1.0138605441272008,1,23.434,23.434,23.434,23.434,23.434,23.434,0.0
unknown_carrier_count,1.0138795779443337,1,31.346,31.346,31.346,31.346,31.346,31.346,0.0
unknown_carrier_count,1.0139762224637225,1,23.154,23.154,23.154,23.154,23.154,23.154,0.0
unknown_carrier_count,1.0140928026640281,1,27.542,27.542,27.542,27.542,27.542,27.542,0.0
unknown_carrier_count,1.0145746873913297,1,18.092,18.092,18.092,18.092,18.092,18.092,0.0
unknown_carrier_count,1.0151117029943686,1,36.539,36.539,36.539,36.539,36.539,36.539,0.0
unknown_carrier_count,1.015157931033454,1,33.491,33.491,33.491,33.491,33.491,33.491,0.0
unknown_carrier_count,1.0152365297370098,1,31.036,31.036,31.036,31.036,31.036,31.036,0.0
unknown_carrier_count,1.0155360218841356,1,37.283,37.283,37.283,37.283,37.283,37.283,0.0
unknown_carrier_count,1.0159309426939853,1,28.138,28.138,28.138,28.138,28.138,28.138,0.0
unknown_carrier_count,1.0168479681775446,1,21.144,21.144,21.144,21.144,21.144,21.144,0.0
unknown_carrier_count,1.0171782140678582,1,47.107,47.107,47.107,47.107,47.107,47.107,0.0
unknown_carrier_count,1.0181444524449612,1,42.58,42.58,42.58,42.58,42.58,42.58,0.0
unknown_carrier_count,1.0182562961672659,1,42.296,42.296,42.296,42.296,42.296,42.296,0.0
unknown_carrier_count,1.0182779697621724,1,21.995,21.995,21.995,21.995,21.995,21.995,0.0
unknown_carrier_count,1.0188007691864962,1,36.744,36.744,36.744,36.744,36.744,36.744,0.0
unknown_carrier_count,1.0195619766049677,1,24.745,24.745,24.745,24.745,24.745,24.745,0.0
unknown_carrier_count,1.0196448628844752,1,29.359,29.359,29.359,29.359,29.359,29.359,0.0
unknown_carrier_count,1.019664529485299,1,26.546,26.546,26.546,26.546,26.546,26.546,0.0
unknown_carrier_count,1.0206488991405653,1,33.511,33.511,33.511,33.511,33.511,33.511,0.0
unknown_carrier_count,1.0209364941040477,1,19.03,19.03,19.03,19.03,19.03,19.03,0.0
unknown_carrier_count,1.0209477379629595,1,35.145,35.145,35.145,35.145,35.145,35.145,0.0
unknown_carrier_count,1.021060083101252,1,30.707,30.707,30.707,30.707,30.707,30.707,0.0
unknown_carrier_count,1.021200674812945,1,28.212,28.212,28.212,28.212,28.212,28.212,0.0
unknown_carrier_count,1.0215092987497814,1,77.907,77.907,77.907,77.907,77.907,77.907,0.0
unknown_carrier_count,1.0226188403351602,1,27.656,27.656,27.656,27.656,27.656,27.656,0.0
unknown_carrier_count,1.0227061429360556,1,0.339,0.339,0.339,0.339,0.339,0.339,100.0
unknown_carrier_count,1.0232559359272377,1,21.058,21.058,21.058,21.058,21.058,21.058,0.0
unknown_carrier_count,1.0240967972986412,1,42.253,42.253,42.253,42.253,42.253,42.253,0.0
unknown_carrier_count,1.0242192120557612,1,44.911,44.911,44.911,44.911,44.911,44.911,0.0
unknown_carrier_count,1.0243322556692505,1,36.755,36.755,36.755,36.755,36.755,36.755,0.0
unknown_carrier_count,1.0245936965395643,1,25.637,25.637,25.637,25.637,25.637,25.637,0.0
unknown_carrier_count,1.0249963409990444,1,17.263,17.263,17.263,17.263,17.263,17.263,0.0
unknown_carrier_count,1.0250952896247723,1,20.8,20.8,20.8,20.8,20.8,20.8,0.0
unknown_carrier_count,1.027647601717599,1,18.024,18.024,18.024,18.024,18.024,18.024,0.0
unknown_carrier_count,1.0279151226517365,1,13.353,13.353,13.353,13.353,13.353,13.353,0.0
unknown_carrier_count,1.0287150990051956,1,53.87,53.87,53.87,53.87,53.87,53.87,0.0
unknown_carrier_count,1.0287438841049756,1,17.395,17.395,17.395,17.395,17.395,17.395,0.0
unknown_carrier_count,1.0302902378524628,1,27.621,27.621,27.621,27.621,27.621,27.621,0.0
unknown_carrier_count,1.0305155721523516,1,43.71,43.71,43.71,43.71,43.71,43.71,0.0
unknown_carrier_count,1.0305794532937789,1,31.836,31.836,31.836,31.836,31.836,31.836,0.0
unknown_carrier_count,1.0314106629233817,1,27.151,27.151,27.151,27.151,27.151,27.151,0.0
unknown_carrier_count,1.03265263605357,1,38.113,38.113,38.113,38.113,38.113,38.113,0.0
unknown_carrier_count,1.0326906970645615,1,31.318,31.318,31.318,31.318,31.318,31.318,0.0
unknown_carrier_count,1.0329130836981166,1,40.928,40.928,40.928,40.928,40.928,40.928,0.0
unknown_carrier_count,1.0330385437092318,1,55.907,55.907,55.907,55.907,55.907,55.907,0.0
unknown_carrier_count,1.03332767955964,1,43.48,43.48,43.48,43.48,43.48,43.48,0.0
unknown_carrier_count,1.0338695936352067,1,13.818,13.818,13.818,13.818,13.818,13.818,0.0
unknown_carrier_count,1.0351333526742783,1,26.887,26.887,26.887,26.887,26.887,26.887,0.0
unknown_carrier_count,1.035802025655992,1,29.676,29.676,29.676,29.676,29.676,29.676,0.0
unknown_carrier_count,1.0360688769957114,1,16.385,16.385,16.385,16.385,16.385,16.385,0.0
unknown_carrier_count,1.0370416252755748,1,17.221,17.221,17.221,17.221,17.221,17.221,0.0
unknown_carrier_count,1.0373407460775366,1,48.631,48.631,48.631,48.631,48.631,48.631,0.0
unknown_carrier_count,1.0373550604284163,1,32.944,32.944,32.944,32.944,32.944,32.944,0.0
unknown_carrier_count,1.0381556164610164,1,28.964,28.964,28.964,28.964,28.964,28.964,0.0
unknown_carrier_count,1.038762930070861,1,23.519,23.519,23.519,23.519,23.519,23.519,0.0
unknown_carrier_count,1.0415615550792192,1,40.058,40.058,40.058,40.058,40.058,40.058,0.0
unknown_carrier_count,1.0416823197359126,1,30.928,30.928,30.928,30.928,30.928,30.928,0.0
unknown_carrier_count,1.0425070606622937,1,40.048,40.048,40.048,40.048,40.048,40.048,0.0
unknown_carrier_count,1.0426516797122103,1,54.583,54.583,54.583,54.583,54.583,54.583,0.0
unknown_carrier_count,1.0428320490109442,1,50.583,50.583,50.583,50.583,50.583,50.583,0.0
unknown_carrier_count,1.0436476705586448,1,19.655,19.655,19.655,19.655,19.655,19.655,0.0
unknown_carrier_count,1.0447472105778302,1,18.522,18.522,18.522,18.522,18.522,18.522,0.0
unknown_carrier_count,1.045125856009183,1,23.562,23.562,23.562,23.562,23.562,23.562,0.0
unknown_carrier_count,1.0502052586507713,1,28.658,28.658,28.658,28.658,28.658,28.658,0.0
unknown_carrier_count,1.0510042915826314,1,38.679,38.679,38.679,38.679,38.679,38.679,0.0
unknown_carrier_count,1.0530736033766857,1,20.066,20.066,20.066,20.066,20.066,20.066,0.0
unknown_carrier_count,1.0549723381884186,1,2.289,2.289,2.289,2.289,2.289,2.289,100.0
unknown_carrier_count,1.0599676384636156,1,11.383,11.383,11.383,11.383,11.383,11.383,0.0
unknown_carrier_count,1.0608075171190676,1,45.952,45.952,45.952,45.952,45.952,45.952,0.0
unknown_carrier_count,1.0628799725926679,1,36.38,36.38,36.38,36.38,36.38,36.38,0.0
unknown_carrier_count,1.0693034882677759,1,22.534,22.534,22.534,22.534,22.534,22.534,0.0
unknown_carrier_count,1.0722164276185333,1,14.919,14.919,14.919,14.919,14.919,14.919,0.0
unknown_carrier_count,1.0778254867246253,1,29.174,29.174,29.174,29.174,29.174,29.174,0.0
unknown_carrier_count,1.0850028266972511,1,25.894,25.894,25.894,25.894,25.894,25.894,0.0
unknown_carrier_count,1.907719887952553,1,131.798,131.798,131.798,131.798,131.798,131.798,0.0
unknown_carrier_count,1.9097450855201281,1,106.75,106.75,106.75,106.75,106.75,106.75,0.0
unknown_carrier_count,1.91263275797829,1,20.339,20.339,20.339,20.339,20.339,20.339,0.0
unknown_carrier_count,1.9306740075772129,1,80.531,80.531,80.531,80.531,80.531,80.531,0.0
unknown_carrier_count,1.933453762375696,1,43.521,43.521,43.521,43.521,43.521,43.521,0.0
unknown_carrier_count,1.9396321207694522,1,76.767,76.767,76.767,76.767,76.767,76.767,0.0
unknown_carrier_count,1.9406451081929477,1,43.95,43.95,43.95,43.95,43.95,43.95,0.0
unknown_carrier_count,1.9410127520235383,1,85.825,85.825,85.825,85.825,85.825,85.825,0.0
unknown_carrier_count,1.9473596821717,1,0.897,0.897,0.897,0.897,0.897,0.897,100.0
unknown_carrier_count,1.9496780123844666,1,110.626,110.626,110.626,110.626,110.626,110.626,0.0
unknown_carrier_count,1.9527011675089714,1,75.554,75.554,75.554,75.554,75.554,75.554,0.0
unknown_carrier_count,1.952843022489501,1,60.993,60.993,60.993,60.993,60.993,60.993,0.0
unknown_carrier_count,1.9529017134880104,1,35.391,35.391,35.391,35.391,35.391,35.391,0.0
unknown_carrier_count,1.9546121471400888,1,47.54,47.54,47.54,47.54,47.54,47.54,0.0
unknown_carrier_count,1.9570586981719562,1,64.41,64.41,64.41,64.41,64.41,64.41,0.0
unknown_carrier_count,1.9571181109645346,1,64.336,64.336,64.336,64.336,64.336,64.336,0.0
unknown_carrier_count,1.9617051667948076,1,15.972,15.972,15.972,15.972,15.972,15.972,0.0
unknown_carrier_count,1.9620550642817085,1,93.053,93.053,93.053,93.053,93.053,93.053,0.0
unknown_carrier_count,1.9634259999048136,1,70.309,70.309,70.309,70.309,70.309,70.309,0.0
unknown_carrier_count,1.9655023761532497,1,15.352,15.352,15.352,15.352,15.352,15.352,0.0
unknown_carrier_count,1.9676905683786263,1,84.676,84.676,84.676,84.676,84.676,84.676,0.0
unknown_carrier_count,1.967915757965244,1,14.048,14.048,14.048,14.048,14.048,14.048,0.0
unknown_carrier_count,1.9683655232373929,1,119.357,119.357,119.357,119.357,119.357,119.357,0.0
unknown_carrier_count,1.9691853890881799,1,27.05,27.05,27.05,27.05,27.05,27.05,0.0
unknown_carrier_count,1.9708936344147414,1,84.978,84.978,84.978,84.978,84.978,84.978,0.0
unknown_carrier_count,1.9710049905712737,1,30.52,30.52,30.52,30.52,30.52,30.52,0.0
unknown_carrier_count,1.9723679831460903,1,34.81,34.81,34.81,34.81,34.81,34.81,0.0
unknown_carrier_count,1.9731972659284616,1,63.6,63.6,63.6,63.6,63.6,63.6,0.0
unknown_carrier_count,1.9733979898555511,1,1.4,1.4,1.4,1.4,1.4,1.4,100.0
unknown_carrier_count,1.9757838122088254,1,13.133,13.133,13.133,13.133,13.133,13.133,0.0
unknown_carrier_count,1.9771148069953333,1,98.686,98.686,98.686,98.686,98.686,98.686,0.0
unknown_carrier_count,1.9782659974069077,1,64.045,64.045,64.045,64.045,64.045,64.045,0.0
unknown_carrier_count,1.9784934043185776,1,19.01,19.01,19.01,19.01,19.01,19.01,0.0
unknown_carrier_count,1.9785706682437099,1,8.123,8.123,8.123,8.123,8.123,8.123,100.0
unknown_carrier_count,1.979144132691692,1,33.735,33.735,33.735,33.735,33.735,33.735,0.0
unknown_carrier_count,1.9792586649421238,1,23.223,23.223,23.223,23.223,23.223,23.223,0.0
